gene_symbol	full_name	synonym	product	description	GeneID/Location	reference	PMID	DOI	status
MpAAP5	AMINO ACID PERMEASE 5		amino acid transporter	proton-coupled amino acid symporter	Mapoly0004s0095.1; Mp3g15770.1				Public
MpABA1	MpABA1		zeaxanthin epoxidase		Mapoly0028s0084.1; Mp2g00670.1				Public
MpABA4	MpABA4		neoxanthin synthase		Mapoly0134s0007.1; Mp5g19490.1				Public
MpABCB1	ATP-BINDING CASSETTE B 1		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0075s0053; Mp2g02920				Public
MpABCB2	ATP-BINDING CASSETTE B 2		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0075s0052; Mp2g02910				Public
MpABCB3	ATP-BINDING CASSETTE B 3		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0037s0014; Mp3g11830				Public
MpABCB4	ATP-BINDING CASSETTE B 4		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0182s0009; Mp5g17400				Public
MpABCB5	ATP-BINDING CASSETTE B 5		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0115s0036; Mp4g07450				Public
MpABI1	ABSCISIC ACID INSENSITIVE1		Type 2C protein phosphatase, group A	The MpABI1 cDNA encoded a 568-amino acid protein consisting of the carboxy-terminal protein phosphatase 2C (PP2C) domain and a novel amino-terminal regulatory domain. The MpABI1 transcript was detected in the gametophyte, and its expression level was increased by exogenous ABA treatment in the gemma, whose growth was strongly inhibited by Abscisic acid (ABA).	MapolyY_A0044.1; MpVg00730.1	Tougane et al. Plant Physiol. 2010 152:1529-43. PMID: 20097789	PMID: 20097789		Published
MpABI1A	MpABI1A		Type 2C protein phosphatase, group A	Same as MpABI1 (GQ504039.1)	MapolyY_A0044.1; MpVg00730.1				Public
MpABI1B	MpABI1B		Type 2C protein phosphatase, group A		Mapoly0017s0024.1				Public
MpABI3A	MpABI3A		B3-domain transcription factor abscisic acid-insensitive 3		Mapoly0086s0035.1; Mp5g08310.1				Public
MpABI5A	MpABI5A		bZIP transcription factor		Mapoly0069s0009.1; Mp2g23600.1				Public
MpABI5B	MpABI5B		bZIP transcription factor		Mapoly0072s0050.1; Mp2g22820.1				Public
MpACS	ACETYL-COA SYNTHETASE		Potential acetyl-coA synthetase, possible ortholog to AtACS	Genome paper Mapoly0034s0060	Mapoly0034s0060; Mp6g04560				Public
MpACS-RELATE	ACETYL-COA SYNTHETASE-RELATED		Potential role in ethylene synthesis	Genome paper Mapoly0001s0058	Mapoly0001s0058; Mp1g17180				Public
MpAGC1	AGC KINASE 1		AGC VIIIa kinase AGC1						Public
MpAGC2	AGC KINASE 2		AGC VIIIb kinase AGC2						Public
MpALFIN1	MpAlfin1		transcription factor, Alfin1-like		Mapoly0029s0079.1; Mp1g01670.1				Public
MpALFIN2	MpAlfin2		transcription factor, Alfin1-like		Mapoly0065s0031.1; Mp1g23460.1				Public
MpAMT1.2	AMMONIUM TRANSPORTER 1.2		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0060s0090; Mp6g08310	Guo et al. Plant Cell Physiol. 59(5):997-1005 (2018); McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15		10.1093/pcp/pcy038; 10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.3	AMMONIUM TRANSPORTER 1.3		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0081s0032; Mp8g05310	McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15		10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.4	AMMONIUM TRANSPORTER 1.4		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0081s0029; Mp8g05280	McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15		10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.5	AMMONIUM TRANSPORTER 1.5		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0081s0031; Mp8g05300	McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15 		10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.6	AMMONIUM TRANSPORTER 1.6		ammonium transporter		Mapoly0081s0034; Mp8g05330	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT1.7	AMMONIUM TRANSPORTER 1.7		ammonium transporter		Mapoly0077s0030; Mp8g00390	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT1.8	AMMONIUM TRANSPORTER 1.8		ammonium transporter		Mapoly0077s0028; Mp8g00380	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT1.9	AMMONIUM TRANSPORTER 1.9		ammonium transporter		Mapoly0077s0031; Mp8g00420	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.1	AMMONIUM TRANSPORTER 2.1		ammonium transporter		Mapoly0028s0091; Mp2g00600	Bowman et al., Cell 171(2):287-304.e15  		10.1016/j.cell.2017.09.030	Published
MpAMT2.10	AMMONIUM TRANSPORTER 2.10		ammonium transporter		Mapoly0192s0013; Mp8g18470	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.2	AMMONIUM TRANSPORTER 2.2		ammonium transporter		Mapoly0080s0061; Mp4g02370	Bowman et al., Cell 171(2):287-304.e15  		10.1016/j.cell.2017.09.030	Published
MpAMT2.3	AMMONIUM TRANSPORTER 2.3		ammonium transporter		Mapoly0174s0008; Mp4g12460	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.4	AMMONIUM TRANSPORTER 2.4		ammonium transporter		Mapoly0192s0010; Mp8g18510	Bowman et al., Cell 171(2):287-304.e15 		10.1016/j.cell.2017.09.030	Published
MpAMT2.5	AMMONIUM TRANSPORTER 2.5		ammonium transporter		Mapoly0192s0011; Mp8g18500	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.6	AMMONIUM TRANSPORTER 2.6		ammonium transporter		Mapoly0192s0012; Mp8g18480	Bowman et al., Cell 171(2):287-304.e15 		10.1016/j.cell.2017.09.030	Published
MpAMT2.7	AMMONIUM TRANSPORTER 2.7		ammonium transporter		Mapoly0192s0015; Mp8g18450	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.8	AMMONIUM TRANSPORTER 2.8		ammonium transporter		Mapoly0213s0002; Mp8g18430	Bowman et al., Cell 171(2):287-304.e15 		10.1016/j.cell.2017.09.030	Published
MpAMT2.9	AMMONIUM TRANSPORTER 2.9		ammonium transporter		Mapoly0213s0001; Mp8g18440	Bowman et al., Cell 171(2):287-304.e15 		10.1016/j.cell.2017.09.030	Published
MpAO	MpAO		abscisic aldehyde oxidase		Mapoly0013s0153.1; Mp8g06370.1				Public
MpAP2B3-1	MpAP2B3-1, MpRAV		transcription factor, AP2-B3		Mapoly0072s0102.1; Mp2g22250.1				Public
MpAP2B3-2	MpAP2B3-2, MpREM3		transcription factor, AP2-B3		Mapoly0093s0032.1; Mp5g11100.1				Public
MpAP2L1	MpAP2L1		transcription factor, AP2/ERF		Mapoly0008s0071.1; Mp8g11450.1				Public
MpAP2L2	MpAP2L2		transcription factor, AP2/ERF		Mapoly0009s0013.1; Mp7g13270.1				Public
MpAP2L3	MpAP2L3		transcription factor, AP2/ERF		Mapoly0048s0045.1; Mp5g10280.1				Public
MpAP2L4	MpAP2L4		transcription factor, AP2/ERF		Mapoly0144s0031.1; Mp6g16760.1				Public
MpAP2L5	MpAP2L5		transcription factor, AP2/ERF		Mapoly0144s0032.1; Mp6g16750.1				Public
MpAP2L6	MpAP2L6		transcription factor, AP2/ERF		Mapoly0144s0033.1; Mp6g16820.1				Public
MpAP2L7	MpAP2L7		transcription factor, AP2/ERF		Mapoly1480s0001.1; Mp6g16770.1				Public
MpARA6	Arabidopsis thaliana gene 6		RAB GTPase	genome paper: Mapoly0077s0027.1	Mapoly0077s0027.1; Mp8g00450.1				Public
MpARF1	AUXIN RESPONSE FACTOR1		Transcriptiion factor, similarity to Arabidopsis activator ARFs.	The M. polymorpha genome encodes three ARFs (MpARF1, MpARF2, and MpARF3). The three MpARFs have a structure common to typical ARFs, containing a B3-like DNA binding domain (DBD) and a protein-protein interaction motif, called domains III and IV (Figs 1A and S2). Between the DBD and domain III, MpARF1 harbors a glutamine-rich region, which is known as a feature of activator ARF members. Phylogenetic analysis showed that MpARF1 belonged to the clade A, which represents activator ARF proteins such as ARF5/MONOPTEROS (MP) of Arabidopsis.	Mapoly0019s0045.1; Mp1g12750.1	Kato et al., PLOS Genet. 11, e1005084 (2015) PMID: 26020919; Flores-Sandval et al., PLOS Genet. 11, e1005207 (2015). PMID: 26020649	PMID: 26020919; PMID: 26020649		Published
MpARF2	AUXIN RESPONSE FACTOR2		Transcriptiion factor, similarity to Arabidopsis repressor ARFs.	MpARF2 resided in clade B, and was shown to function as transcriptional repressor.	Mapoly0011s0167.1; Mp4g11820.1	Kato et al., PLOS Genet. 11, e1005084 (2015) PMID: 26020919; Flores-Sandval et al., PLOS Genet. 11, e1005207 (2015). PMID: 26020649	PMID: 26020919; PMID: 26020649		Published
MpARF3	AUXIN RESPONSE FACTOR3		Transcriptiion factor, similarity to Arabidopsis repressor ARFs.	MpARF3 has a relatively longer DBD, and its domains III and IV show lower similarity to ARFs in the clades A and B. MpARF3 mRNA contains the possible target sequence of microRNA160. These features are common with Arabidopsis ARF10 and ARF16, which possibly function as repressors. Phylogenetic analysis supported the placement of MpARF3 in the clade C including Arabidopsis ARF10, ARF16, and ARF17.	Mapoly0043s0098.1; Mp1g07070.1	Kato et al., PLOS Genet. 11, e1005084 (2015) PMID: 26020919; Flores-Sandval et al., PLOS Genet. 11, e1005207 (2015). PMID: 26020649	PMID: 26020919; PMID: 26020649		Published
MpARFA1	ADP-ribosylation factor A1		SAR/ARF GTPase	genome paper: Mapoly0003s0313.1	Mapoly0003s0313.1; Mp7g13050.1				Public
MpARFA2	ADP-ribosylation factor A2		SAR/ARF GTPase	genome paper: Mapoly0004s0279.1	Mapoly0004s0279.1; Mp3g13920.1				Public
MpARFA3	ADP-ribosylation factor A3		SAR/ARF GTPase	genome paper: Mapoly0023s0085.1	Mapoly0023s0085.1; Mp2g11170.1				Public
MpARFB1	ADP-ribosylation factor B1		SAR/ARF GTPase	genome paper: Mapoly0013s0061.1	Mapoly0013s0061.1; Mp8g07320.1				Public
MpARFB2	ADP-ribosylation factor B2		SAR/ARF GTPase	genome paper: Mapoly0003s0186.1	Mapoly0003s0186.1; Mp7g11740.1				Public
MpARFC1	ADP-ribosylation factor C1		SAR/ARF GTPase	genome paper: Mapoly0083s0064.1	Mapoly0083s0064.1; Mp8g12560.1				Public
MpARFC2	ADP-ribosylation factor C2		SAR/ARF GTPase	genome paper: Mapoly0013s0177.1	Mapoly0013s0177.1; Mp8g06130.1				Public
MpARFC3	ADP-ribosylation factor C3		SAR/ARF GTPase	genome paper: Mapoly0071s0114.1	Mapoly0071s0114.1; Mp5g14970.1				Public
MpARFD1	ADP-ribosylation factor D1		SAR/ARF GTPase	genome paper: Mapoly0042s0078.1	Mapoly0042s0078.1; Mp2g14560.1				Public
MpARFD2	ADP-ribosylation factor D2		SAR/ARF GTPase	genome paper: Mapoly0044s0050.1	Mapoly0044s0050.1; Mp4g04230.1				Public
MpARFD3	ADP-ribosylation factor D3		SAR/ARF GTPase	genome paper: Mapoly0044s0052.1	Mapoly0044s0052.1; Mp4g04210.1				Public
MpARFD4	ADP-ribosylation factor D4		SAR/ARF GTPase	genome paper: Mapoly0105s0044.1	Mapoly0105s0044.1; Mp3g08730.1				Public
MpARFLA	ADP-ribosylation factor like A		SAR/ARF GTPase	genome paper: Mapoly0129s0042.1	Mapoly0129s0042.1; Mp2g10180.1				Public
MpARFLB	ADP-ribosylation factor like B		SAR/ARF GTPase	genome paper: Mapoly0024s0084.1	Mapoly0024s0084.1; Mp3g23070.1				Public
MpARFLC	ADP-ribosylation factor like C		SAR/ARF GTPase	genome paper: Mapoly0224s0005.1	Mapoly0224s0005.1; Mp3g24610.1				Public
MpARID-HMGBOX	MpARID-HMGbox		transcription factor, ARID-HMGbox		Mapoly0043s0128.1; Mp1g07350.1				Public
MpARID1	MpARID1		transcription factor, ARID		Mapoly0013s0062.1; Mp8g07310.1				Public
MpARID2	MpARID2		transcription factor, ARID		Mapoly0030s0125.1; Mp8g17910.1				Public
MpARID3	MpARID3		transcription factor, ARID		Mapoly0062s0083.1; Mp7g04420.1				Public
MpARID4	MpARID4		transcription factor, ARID		Mapoly0094s0004.1; Mp2g17360.1				Public
MpASLBD1	MpASLBD1		transcription factor, ASL/LBD		Mapoly0004s0047.1; Mp3g16240.1				Public
MpASLBD10	MpASLBD10		transcription factor, ASL/LBD		Mapoly0084s0032.1; Mp5g17820.1				Public
MpASLBD11	MpASLBD11		transcription factor, ASL/LBD		Mapoly0093s0018.1; Mp5g10960.1				Public
MpASLBD12	MpASLBD12		transcription factor, ASL/LBD		Mapoly0093s0069.1; Mp5g11460.1				Public
MpASLBD13	MpASLBD13		transcription factor, ASL/LBD		Mapoly0097s0062.1; Mp6g05810.1				Public
MpASLBD14	MpASLBD14		transcription factor, ASL/LBD		Mapoly0152s0027.1; Mp6g09270.1				Public
MpASLBD15	MpASLBD15		transcription factor, ASL/LBD		Mapoly0153s0039.1; Mp1g14500.1				Public
MpASLBD16	MpASLBD16		transcription factor, ASL/LBD		Mapoly0173s0030.1; Mp6g06850.1				Public
MpASLBD17	MpASLBD17		transcription factor, ASL/LBD		Mapoly0176s0008.1; Mp8g09250.1				Public
MpASLBD18	MpASLBD18		transcription factor, ASL/LBD		Mapoly0721s0001.1; Mp6g09280.1				Public
MpASLBD19	MpASLBD19		transcription factor, ASL/LBD		Mapoly0817s0001.1; Mpzg00130.1				Public
MpASLBD2	MpASLBD2		transcription factor, ASL/LBD		Mapoly0008s0060.1; Mp8g11560.1				Public
MpASLBD20	MpASLBD20		transcription factor, ASL/LBD		Mapoly1185s0001.1; Mp7g18690.1				Public
MpASLBD21	MpASLBD21		transcription factor, ASL/LBD		Mapoly1803s0001.1; Mpzg01450.1				Public
MpASLBD22	MpASLBD22		transcription factor, ASL/LBD		Mapoly3661s0001.1; Mp4g01170.1				Public
MpASLBD23	MpASLBD23		transcription factor, ASL/LBD						Public
MpASLBD24	MpASLBD24		transcription factor, ASL/LBD		Mapoly0050s0090.1; Mp3g12980.1				Public
MpASLBD3	MpASLBD3		transcription factor, ASL/LBD		Mapoly0009s0166.1; Mp7g14810.1				Public
MpASLBD4	MpASLBD4		transcription factor, ASL/LBD		Mapoly0011s0037.1; Mp4g10500.1				Public
MpASLBD5	MpASLBD5		transcription factor, ASL/LBD		Mapoly0046s0060.1; Mp7g00650.1				Public
MpASLBD6	MpASLBD6		transcription factor, ASL/LBD		Mapoly0051s0062.1; Mp7g17250.1				Public
MpASLBD7	MpASLBD7		transcription factor, ASL/LBD		Mapoly0058s0090.1; Mp5g21080.1				Public
MpASLBD8	MpASLBD8		transcription factor, ASL/LBD		Mapoly0060s0092.1; Mp6g08290.1				Public
MpASLBD9	MpASLBD9		transcription factor, ASL/LBD		Mapoly0080s0037.1; Mp4g02620.1				Public
MpATHOOK1	MpAThook1		transcription factor, AThook		Mapoly0102s0028.1; Mp7g18120.1				Public
MpATHOOK2	MpAThook2		transcription factor, AThook		Mapoly0129s0052.1; Mp2g10280.1				Public
MpATHOOK3	MpAThook3		transcription factor, AThook		Mapoly0151s0042.1; Mp8g14640.1				Public
MpAUX1	AUXIN RESISTANT 1		Encodes auxin influx transporter	Genome paper Mapoly0107s0048	Mapoly0107s0048; Mp1g29330				Public
MpB3-1	MpB3-1, MpARF2		transcription factor, B3	Formerly, MpB3-1 was assigned to Mapoly0011s0167.1, but Mapoly0011s0167.1 is now registered as MpARF2					Public
MpB3-2	MpB3-2, MpREM2		transcription factor, B3		Mapoly0015s0164.1; Mp2g08790.1				Public
MpB3-3	MpB3-3, MpARF1		transcription factor, B3						Public
MpB3-4	MpB3-4, MpARF3		transcription factor, B3						Public
MpB3-5	MpB3-5, MpVAL/HSL		transcription factor, B3		Mapoly0074s0026.1; Mp7g03700.1				Public
MpB3-6	MpB3-6, MpABI3A		transcription factor, B3		Mapoly0086s0035.1; Mp5g08310.1				Public
MpB3-7	MpB3-7, MpREM1		transcription factor, B3		Mapoly0183s0010.1; Mp3g24780.1				Public
MpB3-8	MpB3-8, MpABI3B		transcription factor, B3		Mapoly0474s0001.1; Mp2g08260.1				Public
MpBBX1	MpBBX1		transcription factor, BBX		Mapoly0027s0033.1; Mp5g05940.1				Public
MpBBX2	MpBBX2		transcription factor, BBX		Mapoly0049s0030.1; Mp3g20050.1				Public
MpBBX3	MpBBX3		transcription factor, BBX		Mapoly0049s0067.1; Mp3g19670.1				Public
MpBBX4	MpBBX4		transcription factor, BBX		Mapoly0064s0079.1; Mp8g01190.1				Public
MpBBX5	MpBBX5		transcription factor, BBX		Mapoly0110s0028.1; Mp8g13470.1				Public
MpBBX6	MpBBX6		transcription factor, BBX		Mapoly0122s0029.1; Mp2g16350.1				Public
MpBELL1	MpBELL1		Homeodomain protein	Genome paper: Mapoly0132s0008_BELL2 Mapoly0213s0014_BELL1 Mapoly0093s0028_BELL5 Mapoly0013s0027_BELL4 Mapoly0012s0090_BELL3	Mapoly0213s0014; Mp8g18310				Public
MpBELL2	MpBELL2		Homeodomain protein	Genome paper: Mapoly0132s0008_BELL2 Mapoly0213s0014_BELL1 Mapoly0093s0028_BELL5 Mapoly0013s0027_BELL4 Mapoly0012s0090_BELL3	Mapoly0132s0008; Mp4g09650				Public
MpBELL3	MpBELL3		Homeodomain protein	Genome paper: Mapoly0132s0008_BELL2 Mapoly0213s0014_BELL1 Mapoly0093s0028_BELL5 Mapoly0013s0027_BELL4 Mapoly0012s0090_BELL3	Mapoly0012s0090; Mp8g02970				Public
MpBELL4	MpBELL4		Homeodomain protein	Genome paper: Mapoly0132s0008_BELL2 Mapoly0213s0014_BELL1 Mapoly0093s0028_BELL5 Mapoly0013s0027_BELL4 Mapoly0012s0090_BELL3	Mapoly0013s0027; Mp8g07680				Public
MpBELL5	MpBELL5		Homeodomain protein	Genome paper: Mapoly0132s0008_BELL2 Mapoly0213s0014_BELL1 Mapoly0093s0028_BELL5 Mapoly0013s0027_BELL4 Mapoly0012s0090_BELL3	Mapoly0093s0028; Mp5g11060				Public
MpBET1	Blocked early in transport 1		Ortholog of Arabidopsis BET1 genes	The transcript is detected in thalli, antheridiophores, archegoniophores, and sporelings. Citrine-tagged MpBET1 driven by the cauliflower mosaic virus 35S promoter is localized to the trans-Golgi network.	Mapoly0002s0103; Mp1g27750	Kanazawa et al. Plant Cell Physiol. 2015 Epub ahead of print. PMID: 26019268	PMID: 26019268		Published
MpBHLH1	MpbHLH1		transcription factor, bHLH		Mapoly0124s0021.1; Mp5g03020.1				Public
MpBHLH10	MpbHLH10		transcription factor, bHLH		Mapoly0098s0046.1; Mp4g01540.1				Public
MpBHLH11	MpbHLH11		transcription factor, bHLH		Mapoly0054s0021.1; Mp4g15560.1				Public
MpBHLH12	MpbHLH12		transcription factor, bHLH		Mapoly0031s0161.1; Mp2g05070.1				Public
MpBHLH13	MpbHLH13		transcription factor, bHLH		Mapoly0040s0112.1; Mp2g20990.1				Public
MpBHLH14	MpbHLH14, MpRSL1		transcription factor, bHLH		Mapoly0039s0003.1; Mp3g17930.1				Public
MpBHLH15	MpbHLH15		transcription factor, bHLH		Mapoly0038s0058.1; Mp6g18480.1				Public
MpBHLH16	MpbHLH16		transcription factor, bHLH		Mapoly0150s0015.1; Mp4g04910.1				Public
MpBHLH17	MpbHLH17		transcription factor, bHLH		Mapoly0150s0016.1; Mp4g04920.1				Public
MpBHLH18	MpbHLH18		transcription factor, bHLH		Mapoly0016s0110.1; Mp6g10690.1				Public
MpBHLH19	MpbHLH19		transcription factor, bHLH		Mapoly0088s0049.1; Mp7g02370.1				Public
MpBHLH2	MpbHLH2		transcription factor, bHLH		Mapoly0028s0062.1; Mp2g00890.1				Public
MpBHLH20	MpbHLH20		transcription factor, bHLH		Mapoly0024s0106.1; Mp3g23300.1				Public
MpBHLH21	MpbHLH21		transcription factor, bHLH		Mapoly0037s0007.1; Mp3g11900.1				Public
MpBHLH22	MpbHLH22		transcription factor, bHLH		Mapoly0030s0141.1; Mp8g18080.1				Public
MpBHLH23	MpbHLH23		transcription factor, bHLH		Mapoly0114s0037.1; Mp4g06170.1				Public
MpBHLH24	MpbHLH24		transcription factor, bHLH		Mapoly0012s0202.1; Mp8g04130.1				Public
MpBHLH25	MpbHLH25		transcription factor, bHLH		Mapoly0012s0026.1; Mp8g02290.1				Public
MpBHLH26	MpbHLH26		transcription factor, bHLH	X-linked	Mapoly0018s0018.1				Public
MpBHLH27	MpbHLH27		transcription factor, bHLH		Mapoly0001s0259.1; Mp1g19210.1				Public
MpBHLH28	MpbHLH28		transcription factor, bHLH		Mapoly0091s0008.1; Mp6g21470.1				Public
MpBHLH29	MpbHLH29		transcription factor, bHLH		Mapoly0015s0003.1; Mp2g07150.1				Public
MpBHLH3	MpbHLH3		transcription factor, bHLH		Mapoly0028s0060.1; Mp2g00910.1				Public
MpBHLH30	MpbHLH30		transcription factor, bHLH		Mapoly0015s0001.1; Mp2g07130.1				Public
MpBHLH31	MpbHLH31		transcription factor, bHLH		Mapoly0232s0001.1; Mp2g07110.1				Public
MpBHLH32	MpbHLH32		transcription factor, bHLH		Mapoly0034s0053.1; Mp6g04650.1				Public
MpBHLH33	MpbHLH33		transcription factor, bHLH		Mapoly0029s0135.1; Mp1g01110.1				Public
MpBHLH34	MpbHLH34		transcription factor, bHLH		Mapoly0029s0130.1; Mp1g01160.1				Public
MpBHLH35	MpbHLH35		transcription factor, bHLH		Mapoly0031s0072.1; Mp2g04160.1				Public
MpBHLH36	MpbHLH36		transcription factor, bHLH		Mapoly0031s0074.1; Mp2g04180.1				Public
MpBHLH37	MpbHLH37		transcription factor, bHLH		Mapoly0031s0076.1; Mp2g04200.1				Public
MpBHLH38	MpbHLH38		transcription factor, bHLH		Mapoly0126s0029.1; Mp4g19650.1				Public
MpBHLH39	MpbHLH39		transcription factor, bHLH		Mapoly0073s0059.1; Mp5g18820.1				Public
MpBHLH4	MpbHLH4		transcription factor, bHLH		Mapoly0028s0058.1; Mp2g00930.1				Public
